Salt,Structure,Theory,Metal Basis Set,Halide Basis Set,Lattice Energy,a(0 K) [Angstrom],b(0 K) [Angstrom],c(0 K) [Angstrom],a(298 K) [Angstrom],b(298 K) [Angstrom],c(298 K) [Angstrom],Metal x,Metal y,Metal z,Halide x,Halide y,Halide z
LiF,FiveFive,PBE,pob_TZVP,Sapporo-QZP,-1.00E+03,4.120384,5.866773,3.387183,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,PBE,pob_TZVP,Sapporo-QZP,-9.98E+02,2.853258,2.853258,4.936016,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,PBE,pob_TZVP,Sapporo-QZP,-1.01E+03,4.108023,4.108023,4.108023,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,PBE,pob_TZVP,Sapporo-QZP,-1.00E+03,3.130668,3.130668,3.130668,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,PBE,pob_TZVP,Sapporo-QZP,-1.00E+03,3.147042,3.147042,5.055161,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,PBE,pob_TZVP,Sapporo-QZP,-8.26E+02,5.278939,7.364997,4.252183,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,PBE,pob_TZVP,Sapporo-QZP,-8.24E+02,3.620964,3.620964,6.134426,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,PBE,pob_TZVP,Sapporo-QZP,-8.27E+02,5.189514,5.189514,5.189514,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,PBE,pob_TZVP,Sapporo-QZP,-8.27E+02,3.94464,3.94464,3.94464,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,PBE,pob_TZVP,Sapporo-QZP,-8.28E+02,3.955466,3.955466,6.412543,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE,pob_TZVP,Sapporo-QZP,-7.79E+02,5.723958,7.860034,4.537993,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE,pob_TZVP,Sapporo-QZP,-7.80E+02,3.890914,3.890914,6.538341,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE,pob_TZVP,Sapporo-QZP,-7.81E+02,5.56457,5.56457,5.56457,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE,pob_TZVP,Sapporo-QZP,-7.82E+02,4.224042,4.224042,4.224042,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE,pob_TZVP,Sapporo-QZP,-7.82E+02,4.233634,4.233634,6.877273,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE,pob_TZVP,Sapporo-QZP,-7.26E+02,6.414176,8.539551,4.930312,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE,pob_TZVP,Sapporo-QZP,-7.28E+02,4.279202,4.279202,7.064748,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE,pob_TZVP,Sapporo-QZP,-7.27E+02,6.088961,6.088961,6.088961,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE,pob_TZVP,Sapporo-QZP,-7.32E+02,4.623111,4.623111,4.623111,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE,pob_TZVP,Sapporo-QZP,-7.32E+02,4.626262,4.626262,7.545581,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,PBE,pob_TZVP,Sapporo-QZP,-7.61E+02,5.654242,8.279854,4.780376,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,PBE,pob_TZVP,Sapporo-QZP,-7.63E+02,3.951599,3.951599,6.84727,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,PBE,pob_TZVP,Sapporo-QZP,-7.68E+02,5.693316,5.693316,5.693316,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,PBE,pob_TZVP,Sapporo-QZP,-7.54E+02,4.422331,4.422331,4.422331,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,PBE,pob_TZVP,Sapporo-QZP,-7.56E+02,4.437157,4.437157,7.168908,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-1.03E+03,4.065348,5.772191,3.332576,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-1.03E+03,2.805085,2.805085,4.854124,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-1.04E+03,4.039274,4.039274,4.039274,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-1.03E+03,3.085039,3.085039,3.085039,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-1.03E+03,3.09962,3.09962,4.986611,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-8.61E+02,5.183413,7.206812,4.160855,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-8.68E+02,3.539876,3.539876,5.994117,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-8.71E+02,5.073714,5.073714,5.073714,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.61E+02,3.861315,3.861315,3.861315,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.61E+02,3.869992,3.869992,6.286009,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-8.17E+02,5.608909,7.679475,4.433747,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-8.26E+02,3.797998,3.797998,6.375466,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-8.28E+02,5.430502,5.430502,5.430502,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.18E+02,4.125575,4.125575,4.125575,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.19E+02,4.133164,4.133164,6.724752,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-7.68E+02,6.221173,8.355497,4.824048,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-7.80E+02,4.168504,4.168504,6.87253,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-7.79E+02,5.927025,5.927025,5.927025,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.71E+02,4.504355,4.504355,4.504355,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.72E+02,4.506195,4.506195,7.358143,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-7.94E+02,5.574733,8.117063,4.686388,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-8.04E+02,3.864028,3.864028,6.717558,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-8.09E+02,5.575515,5.575515,5.575515,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.84E+02,4.345004,4.345004,4.345004,,,,0,0,0,0.25,0.25,0.25
